Source,Target,Type,Id,Label,timeset,Weight,e_edge label,e_id
n290,n297,Undirected,33114,,,3,,1088526
n290,n296,Undirected,33113,,,9,,1088521
n285,n290,Undirected,33069,,,10,,1087018
n275,n290,Undirected,32948,,,9,,1082228
n272,n290,Undirected,32890,,,2,,1078887
n271,n290,Undirected,32875,,,17,,1078538
n265,n290,Undirected,32732,,,5,,1074766
n256,n290,Undirected,32489,,,6,,1069526
n255,n290,Undirected,32456,,,7,,1069205
n250,n290,Undirected,32289,,,12,,1065090
n238,n290,Undirected,31807,,,4,,1051571
n237,n290,Undirected,31766,,,4,,1050284
n234,n290,Undirected,31612,,,13,,1046776
n190,n290,Undirected,28754,,,5,,970430
n285,n297,Undirected,33075,,,1,,1087053
n272,n297,Undirected,32895,,,2,,1078909
n250,n297,Undirected,32294,,,1,,1065115
n271,n297,Undirected,32879,,,8,,1078575
n271,n285,Undirected,32870,,,1,,1078518
n271,n275,Undirected,32863,,,15,,1078455
n271,n272,Undirected,32860,,,32,,1078425
n265,n271,Undirected,32718,,,5,,1074664
n256,n271,Undirected,32474,,,3,,1069436
n255,n271,Undirected,32439,,,9,,1069098
n250,n271,Undirected,32275,,,1,,1065019
n238,n271,Undirected,31795,,,4,,1051508
n237,n271,Undirected,31752,,,6,,1050195
n275,n297,Undirected,32953,,,6,,1082260
n275,n296,Undirected,32952,,,5,,1082256
n272,n275,Undirected,32883,,,5,,1078847
n265,n275,Undirected,32721,,,3,,1074690
n256,n275,Undirected,32477,,,3,,1069463
n250,n275,Undirected,32279,,,5,,1065037
n238,n275,Undirected,31799,,,5,,1051527
n237,n275,Undirected,31756,,,2,,1050221
n272,n296,Undirected,32894,,,1,,1078906
n238,n296,Undirected,31811,,,3,,1051596
n234,n297,Undirected,31618,,,6,,1046832
n234,n296,Undirected,31617,,,3,,1046829
n234,n285,Undirected,31608,,,3,,1046740
n234,n275,Undirected,31600,,,1,,1046667
n234,n271,Undirected,31597,,,1,,1046627
n234,n265,Undirected,31591,,,6,,1046603
n234,n256,Undirected,31582,,,1,,1046564
n234,n255,Undirected,31581,,,9,,1046561
n234,n250,Undirected,31576,,,2,,1046530
n234,n238,Undirected,31566,,,1,,1046451
n234,n237,Undirected,31565,,,5,,1046447
n190,n234,Undirected,28704,,,12,,970085
n255,n297,Undirected,32462,,,3,,1069247
n255,n296,Undirected,32461,,,4,,1069243
n255,n285,Undirected,32451,,,7,,1069176
n255,n275,Undirected,32443,,,2,,1069126
n255,n272,Undirected,32440,,,3,,1069102
n255,n265,Undirected,32433,,,7,,1069073
n255,n256,Undirected,32426,,,23,,1069041
n250,n255,Undirected,32266,,,3,,1064992
n238,n255,Undirected,31785,,,14,,1051472
n237,n255,Undirected,31742,,,74,,1050150
n265,n297,Undirected,32738,,,2,,1074799
n265,n296,Undirected,32737,,,4,,1074795
n265,n285,Undirected,32728,,,3,,1074743
n256,n265,Undirected,32468,,,11,,1069416
n250,n265,Undirected,32272,,,3,,1065008
n238,n265,Undirected,31793,,,1,,1051497
n237,n265,Undirected,31749,,,8,,1050176
n285,n296,Undirected,33074,,,4,,1087050
n250,n285,Undirected,32286,,,5,,1065072
n238,n285,Undirected,31804,,,3,,1051556
n256,n297,Undirected,32495,,,2,,1069555
n256,n296,Undirected,32494,,,3,,1069552
n256,n285,Undirected,32484,,,7,,1069502
n250,n256,Undirected,32267,,,3,,1064994
n238,n256,Undirected,31786,,,10,,1051474
n238,n272,Undirected,31796,,,1,,1051511
n237,n297,Undirected,31772,,,5,,1050319
n237,n296,Undirected,31771,,,6,,1050317
n237,n285,Undirected,31761,,,7,,1050258
n237,n272,Undirected,31753,,,3,,1050198
n237,n256,Undirected,31743,,,25,,1050153
n237,n250,Undirected,31740,,,2,,1050134
n237,n238,Undirected,31731,,,14,,1050082
n250,n296,Undirected,32293,,,3,,1065112
n250,n272,Undirected,32276,,,1,,1065022
n238,n250,Undirected,31782,,,4,,1051458
n190,n297,Undirected,28760,,,5,,970467
n190,n296,Undirected,28759,,,9,,970464
n190,n285,Undirected,28749,,,6,,970401
n190,n275,Undirected,28740,,,5,,970333
n190,n272,Undirected,28737,,,21,,970293
n190,n271,Undirected,28736,,,38,,970286
n190,n265,Undirected,28732,,,6,,970256
n190,n256,Undirected,28724,,,23,,970215
n190,n255,Undirected,28723,,,20,,970213
n190,n250,Undirected,28718,,,6,,970184
n190,n238,Undirected,28708,,,10,,970109
n190,n237,Undirected,28707,,,21,,970097
